Date,Region,Product,Units Sold,Revenue,Discount %
2025-01-15,East Africa,Solar Panel Kit,120,4800000,5
2025-01-22,West Africa,Solar Panel Kit,85,3400000,0
2025-02-10,East Africa,Water Pump,60,2100000,10
2025-02-18,Central Africa,Solar Panel Kit,140,5600000,0
2025-03-05,West Africa,Water Pump,45,1575000,5
2025-03-14,East Africa,Battery Pack,200,3000000,0
2025-04-02,Central Africa,Battery Pack,175,2625000,15
2025-04-19,West Africa,Solar Panel Kit,95,3800000,0
2025-05-08,East Africa,Water Pump,70,2450000,0
2025-05-27,Central Africa,Water Pump,55,1925000,10
2025-06-11,West Africa,Battery Pack,160,2400000,0
2025-06-30,East Africa,Solar Panel Kit,180,7200000,5
